stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
10/13/2014 12:34,SEA00145,888.627,Occidental Park / Occidental Ave S & S Washington St,2nd Ave & Vine St,PS-04,BT-03,Member,Male,1967
10/13/2014 12:31,SEA00321,690.793,City Hall / 4th Ave & James St,2nd Ave & Blanchard St,CBD-07,BT-05,Short-Term Pass Holder,,
10/13/2014 12:26,SEA00089,351.563,1st Ave & Marion St,2nd Ave & Spring St,CBD-05,CBD-06,Member,Female,1949
10/13/2014 12:32,SEA00028,653.071,Burke Museum / E Stevens Way NE & Memorial Way NE,UW Intramural Activities Building,UW-02,UW-07,Member,Female,1991
10/13/2014 12:57,SEA00140,1593.079,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St,PS-04,PS-04,Member,Male,1982
10/13/2014 12:57,SEA00110,1490.281,Occidental Park / Occidental Ave S & S Washington St,6th Ave & Blanchard St,PS-04,BT-04,Member,Male,1978
10/13/2014 12:36,SEA00076,213.559,Occidental Park / Occidental Ave S & S Washington St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,PS-04,PS-05,Member,Male,1950
10/13/2014 12:40,SEA00247,471.424,2nd Ave & Spring St,7th Ave & Union St,CBD-06,CBD-03,Member,Female,1946
10/13/2014 12:40,SEA00089,488.079,2nd Ave & Spring St,7th Ave & Union St,CBD-06,CBD-03,Member,Female,1949
10/13/2014 12:47,SEA00058,717.698,2nd Ave & Vine St,2nd Ave & Spring St,BT-03,CBD-06,Member,Male,1953
10/13/2014 12:46,SEA00063,689.523,2nd Ave & Vine St,2nd Ave & Spring St,BT-03,CBD-06,Member,Male,1950
10/13/2014 12:45,SEA00415,357.776,6th Ave S & S King St,Occidental Park / Occidental Ave S & S Washington St,ID-04,PS-04,Member,Male,1975
10/13/2014 12:48,SEA00311,278.849,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,PS-05,PS-05,Short-Term Pass Holder,,
